accelerator,algorithm,target,feature,coefficient,feature_mean,feature_scale,r2,rmse,n
GH200,pie,latency_s,intercept,1.3117460000000003,0.0,1.0,1.0,2.220446049250313e-16,5
GH200,pie,latency_s,input_gpixels,0.0,0.000262144,1.0,1.0,2.220446049250313e-16,5
GH200,pie,latency_s,compute_tpixel_epochs,0.0,5.24288e-07,1.0,1.0,2.220446049250313e-16,5
GH200,pie,latency_s,epoch_batches_k,0.0,0.128,1.0,1.0,2.220446049250313e-16,5
GH200,pie,latency_s,batch_mpixels,0.0,0.004096,1.0,1.0,2.220446049250313e-16,5
GH200,pie,avg_power_w,intercept,95.9240806,0.0,1.0,1.0,0.0,5
GH200,pie,avg_power_w,input_gpixels,0.0,0.000262144,1.0,1.0,0.0,5
GH200,pie,avg_power_w,compute_tpixel_epochs,0.0,5.24288e-07,1.0,1.0,0.0,5
GH200,pie,avg_power_w,epoch_batches_k,0.0,0.128,1.0,1.0,0.0,5
GH200,pie,avg_power_w,batch_mpixels,0.0,0.004096,1.0,1.0,0.0,5
GH200,pie,energy_j,intercept,845.0911499999999,0.0,1.0,1.0,1.1368683772161603e-13,5
GH200,pie,energy_j,input_gpixels,0.0,0.000262144,1.0,1.0,1.1368683772161603e-13,5
GH200,pie,energy_j,compute_tpixel_epochs,0.0,5.24288e-07,1.0,1.0,1.1368683772161603e-13,5
GH200,pie,energy_j,epoch_batches_k,0.0,0.128,1.0,1.0,1.1368683772161603e-13,5
GH200,pie,energy_j,batch_mpixels,0.0,0.004096,1.0,1.0,1.1368683772161603e-13,5
GH200,pie,peak_memory_mib,intercept,24.0,0.0,1.0,1.0,0.0,5
GH200,pie,peak_memory_mib,input_gpixels,0.0,0.000262144,1.0,1.0,0.0,5
GH200,pie,peak_memory_mib,compute_tpixel_epochs,0.0,5.24288e-07,1.0,1.0,0.0,5
GH200,pie,peak_memory_mib,epoch_batches_k,0.0,0.128,1.0,1.0,0.0,5
GH200,pie,peak_memory_mib,batch_mpixels,0.0,0.004096,1.0,1.0,0.0,5
GH200,pie,throughput_per_s,intercept,48.78993340000001,0.0,1.0,1.0,7.105427357601002e-15,5
GH200,pie,throughput_per_s,input_gpixels,0.0,0.000262144,1.0,1.0,7.105427357601002e-15,5
GH200,pie,throughput_per_s,compute_tpixel_epochs,0.0,5.24288e-07,1.0,1.0,7.105427357601002e-15,5
GH200,pie,throughput_per_s,epoch_batches_k,0.0,0.128,1.0,1.0,7.105427357601002e-15,5
GH200,pie,throughput_per_s,batch_mpixels,0.0,0.004096,1.0,1.0,7.105427357601002e-15,5
