Time(S),GPU0_Power(W)
0.01,112.67
0.01,112.67
0.21,122.22
0.41,129.97
0.61,130.45
0.82,130.58
1.02,121.30
1.22,111.67
1.42,102.06
1.62,92.27
1.82,82.66
2.02,82.30
2.22,82.28
2.42,82.20
2.62,82.23
2.82,82.20
3.02,82.18
3.22,82.18
3.42,82.18
3.62,82.20
3.82,82.20
4.02,82.19
4.22,82.15
4.42,82.15
4.62,82.15
4.82,82.21
5.02,82.23
5.22,82.29
5.42,82.26
5.62,82.26
5.82,82.14
6.02,82.10
6.22,82.13
6.42,82.19
6.62,82.12
6.82,82.17
7.02,84.99
7.22,94.12
7.42,102.65
7.62,111.38
7.82,120.94
8.02,126.94
8.22,126.71
8.42,126.69
8.62,126.74
8.82,126.73
